file,severity,score,tier,flags
malware-zeghost.yaml,critical,50,3-acceptable,no_http_block
malware-zoxpng.yaml,critical,50,3-acceptable,no_http_block
malware_alina.yaml,critical,50,3-acceptable,no_http_block
malware_andromeda.yaml,critical,50,3-acceptable,no_http_block
malware_arkei.yaml,critical,50,3-acceptable,no_http_block
malware_backoff.yaml,critical,50,3-acceptable,no_http_block
malware_blackworm.yaml,critical,50,3-acceptable,no_http_block
malware_bublik.yaml,critical,50,3-acceptable,no_http_block
malware_cap_hookexkeylogger.yaml,critical,50,3-acceptable,no_http_block
malware_cxpid.yaml,critical,50,3-acceptable,no_http_block
malware_cythosia.yaml,critical,50,3-acceptable,no_http_block
malware_ddostf.yaml,critical,50,3-acceptable,no_http_block
malware_derkziel.yaml,critical,50,3-acceptable,no_http_block
malware_dexter.yaml,critical,50,3-acceptable,no_http_block
malware_diamondfox.yaml,critical,50,3-acceptable,no_http_block
malware_eicar.yaml,critical,50,3-acceptable,no_http_block
malware_ezcob.yaml,critical,50,3-acceptable,no_http_block
malware_fudcrypt.yaml,critical,50,3-acceptable,no_http_block
malware_gafgyt_bash.yaml,critical,50,3-acceptable,no_http_block
malware_gafgyt_generic.yaml,critical,50,3-acceptable,no_http_block
malware_gafgyt_hihi.yaml,critical,50,3-acceptable,no_http_block
malware_gafgyt_hoho.yaml,critical,50,3-acceptable,no_http_block
malware_gafgyt_jackmy.yaml,critical,50,3-acceptable,no_http_block
malware_gafgyt_oh.yaml,critical,50,3-acceptable,no_http_block
malware_genome.yaml,critical,50,3-acceptable,no_http_block
malware_glasses.yaml,critical,50,3-acceptable,no_http_block
malware_gozi.yaml,critical,50,3-acceptable,no_http_block
malware_grozlex.yaml,critical,50,3-acceptable,no_http_block
malware_insta11.yaml,critical,50,3-acceptable,no_http_block
malware_intel_virtualization.yaml,critical,50,3-acceptable,no_http_block
malware_iotreaper.yaml,critical,50,3-acceptable,no_http_block
malware_linux_aesddos.yaml,critical,50,3-acceptable,no_http_block
malware_linux_billgates.yaml,critical,50,3-acceptable,no_http_block
malware_linux_elknot.yaml,critical,50,3-acceptable,no_http_block
malware_linux_mrblack.yaml,critical,50,3-acceptable,no_http_block
malware_linux_tsunami.yaml,critical,50,3-acceptable,no_http_block
malware_macgyver.yaml,critical,50,3-acceptable,no_http_block
malware_macgyver_installer.yaml,critical,50,3-acceptable,no_http_block
malware_madness.yaml,critical,50,3-acceptable,no_http_block
malware_miner.yaml,critical,50,3-acceptable,no_http_block
malware_miniasp3.yaml,critical,50,3-acceptable,no_http_block
malware_naikon.yaml,critical,50,3-acceptable,no_http_block
malware_naspyupdate.yaml,critical,50,3-acceptable,no_http_block
malware_notepad.yaml,critical,50,3-acceptable,no_http_block
malware_olyx.yaml,critical,50,3-acceptable,no_http_block
malware_osx_leverage.yaml,critical,50,3-acceptable,no_http_block
malware_pony.yaml,critical,50,3-acceptable,no_http_block
malware_pubsab.yaml,critical,50,3-acceptable,no_http_block
malware_pypi.yaml,critical,50,3-acceptable,no_http_block
malware_tedroo.yaml,critical,50,3-acceptable,no_http_block
malware_treasurehunt.yaml,critical,50,3-acceptable,no_http_block
malware_trickbot.yaml,critical,50,3-acceptable,no_http_block
malware_trumpbot.yaml,critical,50,3-acceptable,no_http_block
malware_universal_1337.yaml,critical,50,3-acceptable,no_http_block
malware_urausy.yaml,critical,50,3-acceptable,no_http_block
malware_wabot.yaml,critical,50,3-acceptable,no_http_block
malware_warp.yaml,critical,50,3-acceptable,no_http_block
malware_xhide.yaml,critical,50,3-acceptable,no_http_block
